date,close,high,low,next_three_day_high,next_three_day_low,next_three_day_return
2008-06-02,3625.83,3650.48,3580.58,3641.43,3487.79,-0.038071282988998374
2008-06-03,3614.11,3641.43,3585.12,3605.06,3470.56,-0.03971932232278491
2008-06-04,3546.92,3605.06,3513.64,3542.24,3188.8,-0.10096647231964631
2008-06-05,3512.14,3542.24,3487.79,3532.3,3097.39,-0.11809039502981089
2008-06-06,3489.5,3532.3,3470.56,3352.32,3022.88,-0.1337211634904714
2008-06-10,3206.56,3352.32,3188.8,3181.82,2975.66,-0.07200863230377728
2008-06-11,3140.3,3181.82,3097.39,3148.74,2900.07,-0.07649906059930581
2008-06-12,3084.63,3148.74,3022.88,3108.99,2820.64,-0.0855823875148722
2008-06-13,2979.12,3108.99,2975.66,3012.99,2759.11,-0.07385066731115221
2008-06-16,2952.24,3012.99,2900.07,3007.18,2759.11,-0.06541812318781659
2008-06-17,2842.68,2977.89,2820.64,3007.18,2691.87,0.057867927448745554
2008-06-18,2991.27,3007.18,2759.11,2967.4,2691.87,-0.10009126558284612
2008-06-19,2773.08,2967.4,2768.22,2946.94,2691.87,0.06269563085089508
2008-06-20,2849.67,2946.94,2691.87,2973.17,2770.99,0.04333835145823902
2008-06-23,2789.94,2845.48,2771.36,3010.28,2770.99,0.07897660881596025
2008-06-24,2851.91,2865.9,2770.99,3010.28,2787.25,0.05553120540269516
2008-06-25,2969.54,2973.17,2834.95,3010.28,2747.61,-0.07473548091623614
2008-06-26,2980.91,3010.28,2922.79,2899.84,2690.18,-0.09753061984427575
2008-06-27,2816.02,2899.84,2787.25,2834.27,2670.06,-0.05183201823850684
2008-06-30,2791.82,2834.27,2747.61,2809.38,2617.26,-0.06252552098630998
2008-07-01,2698.35,2809.38,2690.18,2807.68,2617.26,0.04051735319732427
2008-07-02,2699.6,2745.94,2670.06,2890.99,2617.26,0.07089568825011108
2008-07-03,2760.61,2807.68,2617.26,2939.14,2716.02,0.06467048949326408
2008-07-04,2741.85,2783.85,2716.02,3015.27,2747.61,0.09972099130149355
